Time,Pitch,Roll
2770,-0.912006,0.0645909
2779,-0.920902,0.0643389
2787,-0.926891,0.0688211
2796,-0.951336,0.0683347
2804,-0.951846,0.0591833
2813,-0.956801,0.0640001
2821,-0.955756,0.0586842
2830,-0.94943,0.0459717
2838,-0.950179,0.0521706
2847,-0.935451,0.0653237
2855,-0.931435,0.0716842
2864,-0.917917,0.0814085
2873,-0.895184,0.0874284
2881,-0.884516,0.0842406
2889,-0.88337,0.0902898
2898,-0.894226,0.0907198
2906,-0.894124,0.0797302
2915,-0.907547,0.0714762
2923,-0.931323,0.0740403
2933,-0.929621,0.0733257
2941,-0.921774,0.0706681
2950,-0.89942,0.0690841
2958,-0.882386,0.0728282
2967,-0.893675,0.0757074
2975,-0.88713,0.0771609
2983,-0.88318,0.0873033
2992,-0.872532,0.0732509
3002,-0.87003,0.0810787
3011,-0.864698,0.0917266
3019,-0.861818,0.0912226
3028,-0.862582,0.10623
3036,-0.874882,0.091091
3046,-0.867478,0.100739
3054,-0.85016,0.105823
3063,-0.833513,0.0932649
3074,-0.829773,0.0922942
3082,-0.852651,0.0901472
3090,-0.846535,0.0910092
3097,-0.819582,0.0838422
3105,-0.829021,0.0687563
3112,-0.8177,0.0738221
3120,-0.789532,0.0557936
3127,-0.764116,0.0477666
3135,-0.743974,0.0411583
3144,-0.721655,0.0334841
3152,-0.711037,0.0472101
3159,-0.689534,0.0373546
3167,-0.670994,0.0367327
3174,-0.655671,0.0502549
3186,-0.646056,0.0560339
3194,-0.644518,0.0500423
3203,-0.6544,0.0544986
3211,-0.670447,0.0478036
3220,-0.698723,0.0502748
3228,-0.731822,0.0488092
3237,-0.767683,0.0653604
3246,-0.782414,0.0707226
3254,-0.792737,0.0703005
3263,-0.818411,0.0857113
3271,-0.837196,0.079849
3280,-0.857316,0.0760436
3288,-0.858924,0.0741488
3297,-0.873673,0.0834632
3305,-0.872136,0.0818979
3314,-0.880411,0.0711756
3322,-0.867356,0.0762268
3331,-0.869585,0.0790015
3340,-0.884744,0.0637239
3348,-0.919029,0.0678171
3357,-0.913589,0.063543
3365,-0.906607,0.0611331
3374,-0.883854,0.0442912
3382,-0.868249,0.0452148
3391,-0.855235,0.0369147
3399,-0.852251,0.0362681
3408,-0.852795,0.0523304
3416,-0.848455,0.0684964
3425,-0.855797,0.0640737
3434,-0.865279,0.0688445
3442,-0.893292,0.0554559
3451,-0.899072,0.0588912
3459,-0.935276,0.0520597
3467,-0.962704,0.0402103
3476,-0.983834,0.0433877
3484,-0.976439,0.038499
3493,-0.97247,0.0353249
3502,-0.958615,0.0357823
3510,-0.966961,0.0490132
3519,-0.965706,0.0339077
3528,-0.946948,0.0327514
3537,-0.95229,0.037033
3546,-0.950889,0.0326757
3555,-0.960086,0.0397255
3563,-0.941143,0.0351004
3572,-0.939819,0.0391145
3580,-0.947445,0.0455366
3589,-0.934659,0.0278807
3598,-0.940036,0.0353309
3607,-0.919849,0.0338272
3616,-0.901153,0.043144
3624,-0.872025,0.0331988
3633,-0.840822,0.026859
3642,-0.806862,0.0373216
3650,-0.775768,0.0502302
3659,-0.756347,0.0405575
3668,-0.728029,0.0482398
3676,-0.701219,0.0322623
3685,-0.678568,0.0370896
3694,-0.666264,0.0212596
3702,-0.644317,0.0309882
3711,-0.625472,0.0201874
3720,-0.616705,0.00923037
3729,-0.576176,0.0112862
3737,-0.54827,0.00636704
3746,-0.533643,0.0128511
3754,-0.520941,0.00170926
3763,-0.49763,-0.00239364
3772,-0.506166,0.00667762
3780,-0.511654,-0.0014322
3789,-0.52002,0.0142229
3797,-0.514269,0.0096885
3806,-0.517345,0.0144538
3815,-0.519585,0.00145502
3829,-0.512372,-0.00997243
3837,-0.514425,-0.0168401
3846,-0.492707,-0.0220806
3855,-0.480503,-0.0051648
3863,-0.434489,-0.0164194
3872,-0.404522,-0.0201129
3881,-0.388018,-0.0181961
3889,-0.358282,-0.0124375
3898,-0.317702,-0.0186325
3906,-0.295236,-0.0265765
3915,-0.27327,-0.0199941
3924,-0.257015,-0.0124357
3934,-0.245013,-0.00618526
3943,-0.234305,-8.66345e-05
3951,-0.215488,-0.0192231
3960,-0.205883,-0.0135367
3969,-0.187083,-0.00880516
3978,-0.178209,-0.00688939
3986,-0.152136,-0.00469633
3995,-0.116469,-0.00201761
4004,-0.110912,-0.00307732
4012,-0.0855421,-0.0126708
4021,-0.0729697,-0.00237724
4030,-0.0565068,-0.0128447
4038,-0.041505,-0.0184229
4047,-0.0245384,0.00430682
4056,-0.00141689,0.00784577
4064,0.0282438,0.0219112
4073,0.07278,0.0186617
4082,0.103961,0.023965
4091,0.119003,0.0231546
4099,0.155238,0.0311097
4108,0.142244,0.039701
4117,0.162168,0.0363074
4126,0.192823,0.0327455
4136,0.202889,0.0214555
4144,0.214752,0.0169871
4153,0.2146,0.00797547
4161,0.254239,-0.00297232
4170,0.290358,4.56119e-05
4178,0.35059,-0.00173557
4191,0.414413,-0.000232817
4200,0.457515,0.0121364
4209,0.510252,0.0155812
4217,0.527659,0.0231275
4226,0.559682,0.00145069
4234,0.603929,0.0137731
4243,0.623749,0.0247543
4252,0.662909,0.0192807
4260,0.68424,0.0146515
4269,0.717441,0.00698309
4277,0.741823,0.0217243
4286,0.75898,0.0313161
4295,0.782499,0.0422486
4303,0.804279,0.0307875
4312,0.838791,0.0226811
4321,0.87819,0.0318051
4330,0.921143,0.0351791
4339,0.9493,0.0278556
4348,0.984453,0.0325576
4357,1.0266,0.0149235
4366,1.15233,-0.000885879
4374,1.28549,-0.0301454
4383,1.49939,-0.0807258
4392,1.52278,-0.138902
4400,1.54256,-0.103395
