Time,Pitch,Error,dError,IntError,ControlSignal
15033,-1.7672,0.0574125,-3.7756,-0.233619,0.574125
15038,-1.79152,0.0330962,-5.11795,-0.233462,0.330962
15043,-1.80762,0.0169907,-3.20805,-0.233377,0.169907
15047,-1.8197,0.00491452,-2.56508,-0.233354,0.0491452
15052,-1.79524,0.0293759,5.14262,-0.233214,0.293759
15057,-1.78494,0.0396768,2.16081,-0.233025,0.396768
15062,-1.77364,0.0509716,2.37963,-0.232783,0.509716
15067,-1.75312,0.0714918,4.08426,-0.232424,0.714918
15071,-1.75198,0.0726299,0.243456,-0.232084,0.726299
15076,-1.73561,0.0890014,3.42696,-0.231659,0.890014
15082,-1.72716,0.0974554,1.55069,-0.231128,0.974554
15087,-1.73016,0.0944571,-0.521574,-0.230585,0.944571
15093,-1.72787,0.0967473,0.432716,-0.230073,0.967473
15097,-1.71432,0.110298,2.80834,-0.229541,1.10298
15102,-1.7065,0.118116,1.55807,-0.228948,1.18116
15107,-1.7041,0.120509,0.491955,-0.228362,1.20509
15113,-1.69989,0.124722,0.797392,-0.227703,1.24722
15118,-1.7063,0.118315,-1.26835,-0.227105,1.18315
15123,-1.71225,0.112358,-1.09009,-0.226491,1.12358
15128,-1.71081,0.113808,0.294722,-0.225931,1.13808
15133,-1.71179,0.11282,-0.203742,-0.225385,1.1282
15138,-1.70659,0.118021,1.094,-0.224823,1.18021
15143,-1.71997,0.104644,-2.6585,-0.224297,1.04644
15147,-1.73339,0.0912251,-2.87339,-0.223871,0.912251
15152,-1.74999,0.0746255,-3.45336,-0.223512,0.746255
15158,-1.76896,0.055655,-3.49435,-0.22321,0.55655
15163,-1.78169,0.0429223,-2.37192,-0.22298,0.429223
15170,-1.8009,0.023711,-2.57205,-0.222803,0.23711
15175,-1.80921,0.0154026,-1.76333,-0.22273,0.154026
15180,-1.82994,-0.0053277,-4.10774,-0.222757,-0.053277
15185,-1.85591,-0.0312988,-4.89893,-0.222923,-0.312988
15190,-1.87096,-0.0463436,-3.01859,-0.223154,-0.463436
15195,-1.86796,-0.0433452,0.616837,-0.223364,-0.433452
15201,-1.86817,-0.0435606,-0.0407539,-0.223595,-0.435606
15206,-1.86247,-0.0378596,1.10382,-0.22379,-0.378596
15211,-1.86374,-0.0391288,-0.237877,-0.223999,-0.391288
15216,-1.85414,-0.0295268,1.857,-0.224152,-0.295268
15222,-1.83132,-0.00670218,4.16991,-0.224188,-0.0670218
15227,-1.81044,0.0141766,3.90404,-0.224113,0.141766
15232,-1.79542,0.0291973,2.90326,-0.223962,0.291973
15237,-1.77584,0.0487727,3.7557,-0.223707,0.487727
15246,-1.75662,0.0679933,2.22701,-0.22312,0.679933
15251,-1.74352,0.0810902,2.8986,-0.222754,0.810902
15256,-1.73331,0.0913005,1.89331,-0.222262,0.913005
15261,-1.71255,0.11206,4.27676,-0.221718,1.1206
15268,-1.68874,0.135876,3.53385,-0.220802,1.35876
15272,-1.66771,0.1569,5.04195,-0.220148,1.569
15276,-1.67648,0.148132,-2.10212,-0.21953,1.48132
15280,-1.6503,0.174316,6.05671,-0.218776,1.74316
15285,-1.61618,0.20843,7.9689,-0.217884,2.0843
15289,-1.59936,0.225248,4.00687,-0.216939,2.25248
15293,-1.58606,0.23855,3.22962,-0.215956,2.3855
15297,-1.57616,0.248451,2.43105,-0.214944,2.48451
15301,-1.56036,0.264253,3.93022,-0.213882,2.64253
15305,-1.55931,0.265306,0.25142,-0.212771,2.65306
15309,-1.54159,0.283028,4.2302,-0.211585,2.83028
15313,-1.53294,0.291669,2.07291,-0.210369,2.91669
15319,-1.54658,0.278033,-2.49142,-0.208847,2.78033
15324,-1.54994,0.274669,-0.621584,-0.20736,2.74669
15329,-1.54771,0.276901,0.467919,-0.206039,2.76901
15334,-1.54963,0.274985,-0.407307,-0.204746,2.74985
15339,-1.54399,0.280628,1.0837,-0.203285,2.80628
15344,-1.52616,0.298452,3.48585,-0.201759,2.98452
15354,-1.52373,0.300883,0.254709,-0.198887,3.00883
15359,-1.5259,0.298718,-0.413587,-0.197323,2.98718
15364,-1.51375,0.310863,2.34886,-0.195716,3.10863
15370,-1.49935,0.325265,2.65262,-0.19395,3.25265
15375,-1.47434,0.350273,4.74175,-0.192102,3.50273
15380,-1.467,0.357615,1.44071,-0.19028,3.57615
15385,-1.44624,0.378368,4.17403,-0.188399,3.78368
